,artist_name,artist_unique_id,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,moma_count,moma_count_to_date,whitney_count,whitney_count_to_date
50,Ana Mendieta,18,15,2016,Cuban-American,Other,Female,White,Hispanic or Latinx,gardner,0.4267821246,0,1,0,2
51,Ana Mendieta,18,16,2020,Cuban-American,Other,Female,White,Hispanic or Latinx,gardner,0.4244753314,0,1,0,3
52,Ando Hiroshige,19,14,2013,Japanese,Other,Male,Asian,Not Hispanic or Latinx,gardner,0.5907570924,0,0,0,0
53,Ando Hiroshige,19,15,2016,Japanese,Other,Male,Asian,Not Hispanic or Latinx,gardner,0.8525127571,0,0,0,0
54,Ando Hiroshige,19,16,2020,Japanese,Other,Male,Asian,Not Hispanic or Latinx,gardner,0.5706308297,0,0,0,0
55,André Derain,20,4,1959,French,French,Male,White,Not Hispanic or Latinx,gardner,0.581335847,0,8,0,0
56,André Derain,20,5,1970,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7780945014,0,11,0,0
57,André Derain,20,6,1975,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7423138554,0,12,0,0
58,André Derain,20,7,1980,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6526175063,0,13,0,0
59,André Derain,20,8,1986,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6331121708,0,14,0,0
60,André Derain,20,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3290510949,0,14,0,0
61,André Derain,20,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4928208451,0,14,0,0
62,André Derain,20,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3383473075,1,15,0,0
63,André Derain,20,12,2005,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2403977739,1,16,0,0
64,André Derain,20,13,2009,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2875040451,0,16,0,0
65,André Derain,20,14,2013,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3046553557,0,16,0,0
66,André Derain,20,15,2016,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5660275244,0,16,0,0
67,André Derain,20,16,2020,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5391353706,0,16,0,0
68,André-Adolphe-Eugène Disdéri,23,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4132197891,0,0,0,0
69,Andreas Gursky,24,14,2013,German,German,Male,White,Not Hispanic or Latinx,gardner,0.5056169387,0,2,0,0
70,Andreas Gursky,24,15,2016,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4027215092,0,2,0,0
71,Andreas Gursky,24,16,2020,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3781449435,0,2,0,0
72,Andrew Wyeth,25,5,1970,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4397630578,0,0,0,19
73,Andrew Wyeth,25,6,1975,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4310436919,0,0,0,19
74,Andrew Wyeth,25,7,1980,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3420524909,0,0,0,19
75,Andrew Wyeth,25,8,1986,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4847605225,0,0,0,19
76,Andy Warhol,26,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.9422259035,0,2,0,2
77,Andy Warhol,26,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6503188841,1,4,0,2
78,Andy Warhol,26,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,1.158082112,0,5,0,2
79,Andy Warhol,26,12,2005,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6681111821,0,6,1,6
80,Andy Warhol,26,13,2009,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6576364168,0,6,1,9
81,Andy Warhol,26,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4098747168,0,7,1,12
82,Andy Warhol,26,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4175661048,0,8,0,13
83,Andy Warhol,26,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4174030437,0,8,0,15
84,Angelica Kauffmann,27,8,1986,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.4794906352,0,0,0,0
85,Angelica Kauffmann,27,9,1991,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.708324225,0,0,0,0
86,Angelica Kauffmann,27,10,1996,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.4581187545,0,0,0,0
87,Angelica Kauffmann,27,11,2001,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.6228029613,0,0,0,0
88,Angelica Kauffmann,27,12,2005,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.3555180488,0,0,0,0
89,Angelica Kauffmann,27,13,2009,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.3847718552,0,0,0,0
90,Angelica Kauffmann,27,14,2013,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.3644769081,0,0,0,0
91,Angelica Kauffmann,27,15,2016,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.5678985619,0,0,0,0
92,Angelica Kauffmann,27,16,2020,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.764037187,0,0,0,0
93,Anne Louis Girodet Trioson,28,5,1970,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4133984677,0,0,0,0
94,Anne Louis Girodet Trioson,28,6,1975,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4473453691,0,0,0,0
95,Anne Louis Girodet Trioson,28,7,1980,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3798198705,0,0,0,0
96,Anne Louis Girodet Trioson,28,8,1986,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3837860253,0,0,0,0
97,Anne Louis Girodet Trioson,28,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2537064071,0,0,0,0
98,Anne Louis Girodet Trioson,28,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2673851506,0,0,0,0
99,Anne Louis Girodet Trioson,28,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,0.751363707,0,0,0,0
100,Anne Louis Girodet Trioson,28,12,2005,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2682541131,0,0,0,0
101,Anne Louis Girodet Trioson,28,13,2009,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3885627109,0,0,0,0
102,Anne Louis Girodet Trioson,28,14,2013,French,French,Male,White,Not Hispanic or Latinx,gardner,0.445101937,0,0,0,0
103,Anne Louis Girodet Trioson,28,15,2016,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3796196072,0,0,0,0
104,Anne Louis Girodet Trioson,28,16,2020,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3771170839,0,0,0,0
105,Ansel Adams,30,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.9924761199,1,28,0,0
106,Anselm Feuerbach,31,7,1980,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3272586547,0,0,0,0
107,Anselm Feuerbach,31,8,1986,German,German,Male,White,Not Hispanic or Latinx,gardner,0.2857488424,0,0,0,0
108,Anselm Feuerbach,31,10,1996,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3115514478,0,0,0,0
109,Anselm Kiefer,32,9,1991,German,German,Male,White,Not Hispanic or Latinx,gardner,0.8007607007,0,2,0,0
110,Anselm Kiefer,32,10,1996,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4505473892,0,2,0,0
111,Anselm Kiefer,32,11,2001,German,German,Male,White,Not Hispanic or Latinx,gardner,0.7879358484,0,2,0,0
112,Anselm Kiefer,32,12,2005,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3830854849,0,2,0,0
113,Anselm Kiefer,32,13,2009,German,German,Male,White,Not Hispanic or Latinx,gardner,0.400859877,0,2,0,0
