artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id
André Derain,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4928208451,20
André Derain,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3383473075,20
André Derain,12,2005,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2403977739,20
André Derain,13,2009,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2875040451,20
André Derain,14,2013,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3046553557,20
André Derain,15,2016,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5660275243999999,20
André Derain,16,2020,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5391353706,20
André-Adolphe-Eugène Disdéri,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4132197891,23
Andreas Gursky,14,2013,German,German,Male,White,Not Hispanic or Latinx,gardner,0.5056169387,24
Andreas Gursky,15,2016,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4027215092,24
Andreas Gursky,16,2020,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3781449435,24
Andrew Wyeth,5,1970,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4397630578,25
Andrew Wyeth,6,1975,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4310436919,25
Andrew Wyeth,7,1980,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3420524909,25
Andrew Wyeth,8,1986,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4847605225,25
Andy Warhol,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.5286618005,26
Andy Warhol,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6503188841,26
Andy Warhol,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,0.7978123523,26
Andy Warhol,12,2005,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6681111821,26
Andy Warhol,13,2009,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6576364168,26
Andy Warhol,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4098747168,26
Andy Warhol,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4175661048,26
Andy Warhol,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4174030437,26
Angelica Kauffmann,8,1986,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.4794906352,27
Angelica Kauffmann,9,1991,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.460729927,27
Angelica Kauffmann,10,1996,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.4581187545,27
Angelica Kauffmann,11,2001,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.3935403873,27
Angelica Kauffmann,12,2005,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.3555180488,27
Angelica Kauffmann,13,2009,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.3847718552,27
Angelica Kauffmann,14,2013,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.3644769081,27
Angelica Kauffmann,15,2016,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.5678985619,27
Angelica Kauffmann,16,2020,Swiss,Other,Female,White,Not Hispanic or Latinx,gardner,0.764037187,27
Anne Louis Girodet Trioson,5,1970,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4133984677,28
Anne Louis Girodet Trioson,6,1975,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4473453691,28
Anne Louis Girodet Trioson,7,1980,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3798198705,28
Anne Louis Girodet Trioson,8,1986,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3837860253,28
Anne Louis Girodet Trioson,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2537064071,28
Anne Louis Girodet Trioson,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2673851506,28
Anne Louis Girodet Trioson,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,0.267329948,28
Anne Louis Girodet Trioson,12,2005,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2682541131,28
Anne Louis Girodet Trioson,13,2009,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3885627109,28
Anne Louis Girodet Trioson,14,2013,French,French,Male,White,Not Hispanic or Latinx,gardner,0.445101937,28
Anne Louis Girodet Trioson,15,2016,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3796196072,28
Anne Louis Girodet Trioson,16,2020,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3771170839,28
Ansel Adams,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4741605839,30
Anselm Feuerbach,7,1980,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3272586547,31
Anselm Feuerbach,8,1986,German,German,Male,White,Not Hispanic or Latinx,gardner,0.2857488424,31
Anselm Feuerbach,10,1996,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3115514478,31
