ArtistName,EditionNumber,NumberofWorldCatPublications,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,TitleofWork,Year,WidthofActualWork(cm),HeightofWorkinJanson(cm),WidthofWorkinJanson(cm),LengthofText(cm),WidthofText(cm),AreaWorkinJanson(cm^2),AreaTextinJanson(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,WidthofActualWork(in),,HeightofWorkinJanson(in inches),WidthofWorkinJanson(in),LengthofText(in),WidthofText(in)
Eugène Delacroix,1,,71,French,Male,White,Not Hispanic or Latinx,The Massacre at Chios,1963,353.06,12.065,9.525,17.145,8.255,114.919125,141.531975,256.4511,631.47,0.4061176303,janson,,,,,,,,,,,139,,4.75,3.75,6.75,3.25
Eugène Delacroix,1,,71,French,Male,White,Not Hispanic or Latinx,Greece Expiring on the Ruines of Missolonghi,1963,141.75,24.57,15.875,5.715,8.255,390.04875,47.177325,437.226075,631.47,0.6923940567,janson,,,,,,,,,,,56.25,,9.75,6.5,2.25,3.25
Eugène Delacroix,1.1,,71,French,Male,White,Not Hispanic or Latinx,Frédéric Chopin,1969,38.1,10.4775,8.255,2.54,8.255,86.4917625,20.9677,107.4594625,635.1,0.1692008542,janson,,,,,,,,,,,15,,4.125,3.25,1,3.25
Eugène Delacroix,1.1,,71,French,Male,White,Not Hispanic or Latinx,Odalisque,1969,46.355,7.62,9.525,5.715,8.255,72.5805,47.177325,119.757825,635.1,0.1885653047,janson,,,,,,,,,,,18.25,,3,3.75,2.25,3.25
Eugène Delacroix,1.1,,71,French,Male,White,Not Hispanic or Latinx,The Massacre at Chios,1969,353.06,12.065,9.525,17.145,8.255,114.919125,141.531975,256.4511,635.1,0.40379641,janson,,,,,,,,,,,139,,4.75,3.75,6.75,3.25
Eugène Delacroix,1.1,,71,French,Male,White,Not Hispanic or Latinx,Greece Expiring on the Ruines of Missolonghi,1969,141.75,24.57,15.875,5.715,8.255,390.04875,47.177325,437.226075,635.1,0.6884365848,janson,,,,,,,,,,,56.25,,9.75,6.5,2.25,3.25
Eugène Delacroix,2,,71,French,Male,White,Not Hispanic or Latinx,Frédéric Chopin,1977,38.1,10.4775,8.255,3.175,8.255,86.4917625,26.209625,112.7013875,611.1,0.1844238054,janson,,,,,,,,,,,15,,4.125,3.25,1.25,3.25
Eugène Delacroix,2,,71,French,Male,White,Not Hispanic or Latinx,Odalisque,1977,46.355,7.9375,9.525,5.08,8.255,75.6046875,41.9354,117.5400875,611.1,0.1923418221,janson,,,,,,,,,,,18.25,,3.125,3.75,2,3.25
Eugène Delacroix,2,,71,French,Male,White,Not Hispanic or Latinx,The Massacre at Chios,1977,353.06,12.065,9.525,19.05,8.255,114.919125,157.25775,272.176875,611.1,0.4453884389,janson,,,,,,,,,,,139,,4.75,3.75,7.5,3.25
Eugène Delacroix,3,,71,French,Male,White,Not Hispanic or Latinx,Frédéric Chopin,1986,38.1,11.1125,8.89,3.175,8.89,98.790125,28.22575,127.015875,599.96,0.2117072388,janson,,,,,,,,,,,15,,4.375,3.5,1.25,3.5
Eugène Delacroix,3,,71,French,Male,White,Not Hispanic or Latinx,Greece on the Ruins of Missolonghi,1986,142.875,24.765,16.51,5.08,8.89,408.87015,45.1612,454.03135,599.96,0.756769368,janson,,,,,,,,,,,56.25,,9.75,6.5,2,3.5
Eugène Delacroix,3,,71,French,Male,White,Not Hispanic or Latinx,Odalisque,1986,46.355,7.3025,8.89,4.445,8.89,64.919225,39.51605,104.435275,599.96,0.1740703964,janson,,,,,,,,,,,18.25,,2.875,3.5,1.75,3.5
Eugène Delacroix,3,,71,French,Male,White,Not Hispanic or Latinx,The Massacre at Chios,1986,353.06,12.065,9.525,10.795,8.89,114.919125,95.96755,210.886675,599.96,0.3515012251,janson,,,,,,,,,,,139,,4.75,3.75,4.25,3.5
Eugène Delacroix,4,,71,French,Male,White,Not Hispanic or Latinx,Frédéric Chopin,1991,38.1,8.255,6.985,3.175,8.89,57.661175,28.22575,85.886925,592.8,0.1448834767,janson,,,,,,,,,,,15,,3.25,2.75,1.25,3.5
Eugène Delacroix,4,,71,French,Male,White,Not Hispanic or Latinx,Odalisque,1991,46.355,8.255,10.795,4.445,8.89,89.112725,39.51605,128.628775,592.8,0.216985113,janson,,,,,,,,,,,18.25,,3.25,4.25,1.75,3.5
Eugène Delacroix,4,,71,French,Male,White,Not Hispanic or Latinx,The Massacre at Chios,1991,353.06,11.7475,9.525,12.7,8.89,111.8949375,112.903,224.7979375,592.8,0.3792137947,janson,,,,,,,,,,,139,,4.625,3.75,5,3.5
Eugène Delacroix,5,,71,French,Male,White,Not Hispanic or Latinx,Odalisque,1995,46.355,8.5725,10.795,6.35,8.89,92.5401375,56.4515,148.9916375,618.45,0.2409113712,janson,,,,,,,,,,,18.25,,3.375,4.25,2.5,3.5
Eugène Delacroix,5,,71,French,Male,White,Not Hispanic or Latinx,The Entombment of Christ,1995,132.08,10.795,8.5725,8.89,8.89,92.5401375,79.0321,171.5722375,618.45,0.2774229728,janson,,,,,,,,,,,52,,4.25,3.375,3.5,3.5
Eugène Delacroix,5,,71,French,Male,White,Not Hispanic or Latinx,The Massacre at Chios,1995,353.06,12.3825,10.16,17.78,8.89,125.8062,158.0642,283.8704,618.45,0.4590029913,janson,,,,,,,,,,,139,,4.875,4,7,3.5
Eugène Delacroix,6,,71,French,Male,White,Not Hispanic or Latinx,Death of Sardanapalus,2001,494.9825,13.97,18.0975,35.56,8.89,252.822075,316.1284,568.950475,640.2,0.8887073961,janson,,,,,,,,,,,194.875,,5.5,7.125,14,3.5
Eugène Delacroix,6,,71,French,Male,White,Not Hispanic or Latinx,Mephistopheles Appears Before Faust,2001,37.7825,10.16,8.255,11.43,8.89,83.8708,101.6127,185.4835,640.2,0.2897274289,janson,,,,,,,,,,,14.875,,4,3.25,4.5,3.5
Eugène Delacroix,6,,71,French,Male,White,Not Hispanic or Latinx,The Abduction of Rebecca,2001,81.915,10.795,8.89,27.305,8.89,95.96755,242.74145,338.709,640.2,0.5290674789,janson,,,,,,,,,,,32.25,,4.25,3.5,10.75,3.5
Eugène Delacroix,6,,71,French,Male,White,Not Hispanic or Latinx,Women of Algiers,2001,229.235,14.2875,18.0975,8.255,8.89,258.5680313,73.38695,331.9549813,640.2,0.5185176214,janson,,,,,,,,,,,90.25,,5.625,7.125,3.25,3.5
Eugène Delacroix,7,,71,French,Male,White,Not Hispanic or Latinx,Death of Sardanapalus,2007,494.9825,15.24,19.05,14.605,8.89,290.322,129.83845,420.16045,623.5,0.6738740176,janson,,,,,,,,,,,194.875,,6,7.5,5.75,3.5
Eugène Delacroix,7,,71,French,Male,White,Not Hispanic or Latinx,The Massacre at Chios,2007,347.98,15.24,12.7,25.4,8.89,193.548,225.806,419.354,623.5,0.6725805934,janson,,,,,,,,,,,137,,6,5,10,3.5
Eugène Delacroix,7,,71,French,Male,White,Not Hispanic or Latinx,Women of Algiers,2007,228.9175,12.065,15.5575,6.985,8.89,187.7012375,62.09665,249.7978875,623.5,0.4006381516,janson,,,,,,,,,,,90.125,,4.75,6.125,2.75,3.5
Eugène Delacroix,8,,71,French,Male,White,Not Hispanic or Latinx,Death of Sardanapalus,2011,494.9825,13.97,17.4625,13.335,8.89,243.951125,118.54815,362.499275,616.59,0.5879097536,janson,,,,,,,,,,,194.875,,5.5,6.875,5.25,3.5
Eugène Delacroix,8,,71,French,Male,White,Not Hispanic or Latinx,The Massacre at Chios,2011,353.06,24.13,20.0025,26.035,8.89,482.660325,231.45115,714.111475,616.59,1.158162596,janson,,,,,,,,,,,139,,9.5,7.875,10.25,3.5
Eugène Delacroix,8,,71,French,Male,White,Not Hispanic or Latinx,Women of Algiers,2011,228.9175,13.97,17.78,10.16,8.89,248.3866,90.3224,338.709,616.59,0.5493261324,janson,,,,,,,,,,,90.125,,5.5,7,4,3.5
Fernand Léger,1,,72,French,Male,White,Not Hispanic or Latinx,The City,1963,298.45,7.62,9.525,3.81,8.255,72.5805,31.45155,104.03205,631.47,0.1647458312,janson,,,,,,,,,,,117.5,,3,3.75,1.5,3.25
Fernand Léger,1.1,,72,French,Male,White,Not Hispanic or Latinx,The City,1969,298.45,7.62,9.525,3.81,8.255,72.5805,31.45155,104.03205,635.1,0.1638042041,janson,,,,,,,,,,,117.5,,3,3.75,1.5,3.25
Fernand Léger,2,,72,French,Male,White,Not Hispanic or Latinx,The City,1977,298.45,18.415,24.13,4.445,8.255,444.35395,36.693475,481.047425,611.1,0.7871828261,janson,,,,,,,,,,,117.5,,7.25,9.5,1.75,3.25
Fernand Léger,3,,72,French,Male,White,Not Hispanic or Latinx,The City,1986,298.45,18.0975,24.13,4.1275,8.89,436.692675,36.693475,473.38615,599.96,0.7890295186,janson,,,,,,,,,,,117.5,,7.125,9.5,1.625,3.5
Fernand Léger,4,,72,French,Male,White,Not Hispanic or Latinx,The City,1991,297.18,6.6675,8.5725,3.81,8.89,57.15714375,33.8709,91.02804375,592.8,0.1535560792,janson,,,,,,,,,,,117,,2.625,3.375,1.5,3.5
Fernand Léger,5,,72,French,Male,White,Not Hispanic or Latinx,The City,1995,297.18,6.985,8.5725,4.445,8.89,59.8789125,39.51605,99.3949625,618.45,0.1607162463,janson,,,,,,,,,,,117,,2.75,3.375,1.75,3.5
Fernand Léger,6,,72,French,Male,White,Not Hispanic or Latinx,The City,2001,297.18,7.3025,8.5725,5.08,8.89,62.60068125,45.1612,107.7618813,640.2,0.1683253378,janson,,,,,,,,,,,117,,2.875,3.375,2,3.5
Fernand Léger,7,,72,French,Male,White,Not Hispanic or Latinx,Three Women (Le Grand Déjeuner),2007,251.46,8.89,12.7,19.05,8.89,112.903,169.3545,282.2575,623.5,0.4526984763,janson,,,,,,,,,,,99,,3.5,5,7.5,3.5
Fernand Léger,8,,72,French,Male,White,Not Hispanic or Latinx,Three Women (Le Grand Déjeuner),2011,251.46,8.89,12.065,17.145,8.89,107.25785,152.41905,259.6769,616.59,0.4211500349,janson,,,,,,,,,,,99,,3.5,4.75,6.75,3.5
Ford Madox Brown,1.1,,73,British,Male,White,Not Hispanic or Latinx,The Last of England,1969,74.93,10.795,8.255,9.2075,8.255,89.112725,76.0079125,165.1206375,635.1,0.2599915564,janson,,,,,,,,,,,29.5,,4.25,3.25,3.625,3.25
Ford Madox Brown,2,,73,British,Male,White,Not Hispanic or Latinx,The Last of England,1977,74.93,18.0975,20.32,13.97,8.255,367.7412,115.32235,483.06355,611.1,0.7904819997,janson,,,,,,,,,,,29.5,,7.125,8,5.5,3.25
Ford Madox Brown,3,,73,British,Male,White,Not Hispanic or Latinx,The Last of England,1986,74.93,20.32,18.0975,19.05,8.89,367.7412,169.3545,537.0957,599.96,0.8952191813,janson,,,,,,,,,,,29.5,,8,7.125,7.5,3.5
Ford Madox Brown,4,,73,British,Male,White,Not Hispanic or Latinx,The Last of England,1991,74.93,10.16,8.89,17.78,8.89,90.3224,158.0642,248.3866,592.8,0.4190057355,janson,,,,,,,,,,,29.5,,4,3.5,7,3.5
Ford Madox Brown,5,,73,British,Male,White,Not Hispanic or Latinx,The Last of England,1995,74.93,10.16,8.5725,14.605,8.89,87.0966,129.83845,216.93505,618.45,0.3507721724,janson,,,,,,,,,,,29.5,,4,3.375,5.75,3.5
Ford Madox Brown,6,,73,British,Male,White,Not Hispanic or Latinx,The Last of England,2001,74.93,10.16,8.5725,20.32,8.89,87.0966,180.6448,267.7414,640.2,0.4182152452,janson,,,,,,,,,,,29.5,,4,3.375,8,3.5
Ford Madox Brown,7,,73,British,Male,White,Not Hispanic or Latinx,Work,2007,198.12,8.5725,12.3825,15.875,8.89,106.1489813,141.12875,247.2777313,623.5,0.3965962009,janson,,,,,,,,,,,78,,3.375,4.875,6.25,3.5
Francesco Clemente,3,,74,Italian,Male,White,Not Hispanic or Latinx,Untitled,1986,#VALUE!,23.495,20.0025,14.605,8.89,469.9587375,129.83845,599.7971875,599.96,0.9997286277,janson,,,,,,,,,,,N/A,,9.25,7.875,5.75,3.5
Francesco Clemente,4,,74,Italian,Male,White,Not Hispanic or Latinx,Untitled,1991,236.22,10.795,12.7,12.065,8.89,137.0965,107.25785,244.35435,592.8,0.4122036943,janson,,,,,,,,,,,93,,4.25,5,4.75,3.5
Francesco Clemente,5,,74,Italian,Male,White,Not Hispanic or Latinx,Untitled,1995,236.22,10.795,12.7,11.43,8.89,137.0965,101.6127,238.7092,618.45,0.3859797882,janson,,,,,,,,,,,93,,4.25,5,4.5,3.5
Francesco Clemente,6,,74,Italian,Male,White,Not Hispanic or Latinx,Untitled,2001,236.22,10.795,12.7,12.065,8.89,137.0965,107.25785,244.35435,640.2,0.3816843955,janson,,,,,,,,,,,93,,4.25,5,4.75,3.5
Francis Bacon,2,,75,British,Male,White,Not Hispanic or Latinx,Figure with Meat,1977,121.92,19.05,17.78,8.255,8.255,338.709,68.145025,406.854025,611.1,0.6657732368,janson,,,,,,,,,,,48,,7.5,7,3.25,3.25
Francis Bacon,3,,75,British,Male,White,Not Hispanic or Latinx,Figure with Meat,1986,121.92,19.3675,17.78,7.62,8.89,344.35415,67.7418,412.09595,599.96,0.6868723748,janson,,,,,,,,,,,48,,7.625,7,3,3.5
Francis Bacon,4,,75,British,Male,White,Not Hispanic or Latinx,Head Surrounded by Sides of Beef,1991,121.92,9.525,8.5725,10.795,8.89,81.6530625,95.96755,177.6206125,592.8,0.2996299131,janson,,,,,,,,,,,48,,3.75,3.375,4.25,3.5
Francis Bacon,5,,75,British,Male,White,Not Hispanic or Latinx,Head Surrounding by Sides of Beef,1995,121.92,9.525,8.5725,10.795,8.89,81.6530625,95.96755,177.6206125,618.45,0.287202866,janson,,,,,,,,,,,48,,3.75,3.375,4.25,3.5
Francis Bacon,6,,75,British,Male,White,Not Hispanic or Latinx,Head Surrounding by Sides of Beef,2001,121.92,9.525,8.5725,11.1125,8.89,81.6530625,98.790125,180.4431875,640.2,0.281854401,janson,,,,,,,,,,,48,,3.75,3.375,4.375,3.5
Francis Bacon,7,,75,British,Male,White,Not Hispanic or Latinx,Head Surrounded by Sides of Beef,2007,121.92,10.4775,9.525,17.145,8.89,99.7981875,152.41905,252.2172375,623.5,0.4045184242,janson,,,,,,,,,,,48,,4.125,3.75,6.75,3.5
Francis Bacon,8,,75,British,Male,White,Not Hispanic or Latinx,Head Surrounded by Sides of Beef,2011,121.92,11.43,10.4775,17.78,8.89,119.757825,158.0642,277.822025,616.59,0.4505782205,janson,,,,,,,,,,,48,,4.5,4.125,7,3.5
Francisco Goya,1,,76,Spanish,Male,White,Hispanic or Latinx,"Bobabilicon (Los Proverbios, No. 4)",1963,50.64125,6.985,9.525,6.35,8.255,66.532125,52.41925,118.951375,631.47,0.1883721713,janson,,,,,,,,,,,19.9375,,2.75,3.75,2.5,3.25
Francisco Goya,1,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,1963,335.28,10.4775,13.0175,19.05,8.255,136.3908563,157.25775,293.6486063,631.47,0.4650238432,janson,,,,,,,,,,,132,,4.125,5.125,7.5,3.25
Francisco Goya,1,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",1963,406.4,19.685,25.4,8.255,8.255,499.999,68.145025,568.144025,631.47,0.899716574,janson,,,,,,,,,,,160,,7.75,10,3.25,3.25
Francisco Goya,1.1,,76,Spanish,Male,White,Hispanic or Latinx,"Bobabilicon (Los Proverbios, No. 4)",1969,50.64125,6.985,9.525,6.35,8.255,66.532125,52.41925,118.951375,635.1,0.1872955046,janson,,,,,,,,,,,19.9375,,2.75,3.75,2.5,3.25
Francisco Goya,1.1,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,1969,335.28,10.4775,13.0175,19.05,8.255,136.3908563,157.25775,293.6486063,635.1,0.4623659365,janson,,,,,,,,,,,132,,4.125,5.125,7.5,3.25
Francisco Goya,1.1,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",1969,406.4,19.685,25.4,8.255,8.255,499.999,68.145025,568.144025,635.1,0.8945741222,janson,,,,,,,,,,,160,,7.75,10,3.25,3.25
Francisco Goya,2,,76,Spanish,Male,White,Hispanic or Latinx,"Bobabilicon (Los Proverbios, No. 4)",1977,50.64125,6.985,9.525,6.35,8.255,66.532125,52.41925,118.951375,611.1,0.1946512437,janson,,,,,,,,,,,19.9375,,2.75,3.75,2.5,3.25
Francisco Goya,2,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,1977,335.28,10.4775,13.0175,12.065,8.255,136.3908563,99.596575,235.9874313,611.1,0.3861682724,janson,,,,,,,,,,,132,,4.125,5.125,4.75,3.25
Francisco Goya,2,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",1977,406.4,19.685,25.4,7.62,8.255,499.999,62.9031,562.9021,611.1,0.9211292751,janson,,,,,,,,,,,160,,7.75,10,3,3.25
Francisco Goya,3,,76,Spanish,Male,White,Hispanic or Latinx,"Bobabilicon (Los Proverbios, No. 4)",1986,50.64125,6.35,8.89,6.35,8.89,56.4515,56.4515,112.903,599.96,0.1881842123,janson,,,,,,,,,,,19.9375,,2.5,3.5,2.5,3.5
Francisco Goya,3,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,1986,335.28,10.795,13.335,10.795,8.89,143.951325,95.96755,239.918875,599.96,0.3998914511,janson,,,,,,,,,,,132,,4.25,5.25,4.25,3.5
Francisco Goya,3,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",1986,406.4,19.3675,25.0825,7.62,8.89,485.7853188,67.7418,553.5271188,599.96,0.922606705,janson,,,,,,,,,,,160,,7.625,9.875,3,3.5
Francisco Goya,4,,76,Spanish,Male,White,Hispanic or Latinx,"Bobabilicon (Los Proverbios, No. 4)",1991,#VALUE!,6.35,8.5725,6.35,8.89,54.435375,56.4515,110.886875,592.8,0.1870561319,janson,,,,,,,,,,,N/A,,2.5,3.375,2.5,3.5
Francisco Goya,4,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,1991,335.28,9.8425,11.43,19.685,8.89,112.499775,174.99965,287.499425,592.8,0.4849855348,janson,,,,,,,,,,,132,,3.875,4.5,7.75,3.5
Francisco Goya,4,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",1991,406.4,13.97,18.0975,6.985,8.89,252.822075,62.09665,314.918725,592.8,0.5312394146,janson,,,,,,,,,,,160,,5.5,7.125,2.75,3.5
Francisco Goya,5,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,1995,335.28,8.89,11.43,12.065,8.89,101.6127,107.25785,208.87055,618.45,0.3377323147,janson,,,,,,,,,,,132,,3.5,4.5,4.75,3.5
Francisco Goya,5,,76,Spanish,Male,White,Hispanic or Latinx,"The Sleep of Reason Produces Monsters, from Los Caprichos",1995,15.24,12.7,8.5725,20.955,8.89,108.87075,186.28995,295.1607,618.45,0.4772587921,janson,,,,,,,,,,,6,,5,3.375,8.25,3.5
Francisco Goya,5,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",1995,406.4,13.0175,18.0975,11.43,8.89,235.5842063,101.6127,337.1969063,618.45,0.5452290504,janson,,,,,,,,,,,160,,5.125,7.125,4.5,3.5
Francisco Goya,6,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,2001,335.28,8.89,11.43,11.43,8.89,101.6127,101.6127,203.2254,640.2,0.3174404873,janson,,,,,,,,,,,132,,3.5,4.5,4.5,3.5
Francisco Goya,6,,76,Spanish,Male,White,Hispanic or Latinx,"The Second of May, 1808",2001,345.44,11.1125,14.2875,11.43,8.89,158.7698438,101.6127,260.3825438,640.2,0.4067206244,janson,,,,,,,,,,,136,,4.375,5.625,4.5,3.5
Francisco Goya,6,,76,Spanish,Male,White,Hispanic or Latinx,"The Sleep of Reason Produces Monsters, from Los Caprichos",2001,15.24,12.7,8.5725,17.78,8.89,108.87075,158.0642,266.93495,640.2,0.4169555608,janson,,,,,,,,,,,6,,5,3.375,7,3.5
Francisco Goya,6,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",2001,406.4,13.0175,18.0975,8.89,8.89,235.5842063,79.0321,314.6163063,640.2,0.4914344053,janson,,,,,,,,,,,160,,5.125,7.125,3.5,3.5
Francisco Goya,7,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,2007,335.28,10.16,12.3825,22.86,8.89,125.8062,203.2254,329.0316,623.5,0.527717081,janson,,,,,,,,,,,132,,4,4.875,9,3.5
Francisco Goya,7,,76,Spanish,Male,White,Hispanic or Latinx,"The Sleep of Reason Produces Monsters, from Los Caprichos",2007,15.24,14.605,9.525,12.7,8.89,139.112625,112.903,252.015625,623.5,0.4041950682,janson,,,,,,,,,,,6,,5.75,3.75,5,3.5
Francisco Goya,7,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",2007,406.4,9.8425,12.7,19.05,8.89,124.99975,169.3545,294.35425,623.5,0.4720998396,janson,,,,,,,,,,,160,,3.875,5,7.5,3.5
Francisco Goya,7,,76,Spanish,Male,White,Hispanic or Latinx,Untitled (Saturn Devouring One of His Children),2007,82.8675,17.78,9.525,12.065,8.89,169.3545,107.25785,276.61235,623.5,0.4436445068,janson,,,,,,,,,,,32.625,,7,3.75,4.75,3.5
Francisco Goya,8,,76,Spanish,Male,White,Hispanic or Latinx,The Family of Charles IV,2011,335.28,11.1125,13.335,22.225,8.89,148.1851875,197.58025,345.7654375,616.59,0.5607704269,janson,,,,,,,,,,,132,,4.375,5.25,8.75,3.5
Francisco Goya,8,,76,Spanish,Male,White,Hispanic or Latinx,"The Sleep of Reason Produces Monsters, from Los Caprichos",2011,15.24,14.2875,9.525,12.7,8.89,136.0884375,112.903,248.9914375,616.59,0.4038201033,janson,,,,,,,,,,,6,,5.625,3.75,5,3.5
Francisco Goya,8,,76,Spanish,Male,White,Hispanic or Latinx,"The Third of May, 1808",2011,406.4,9.8425,12.7,20.32,8.89,124.99975,180.6448,305.64455,616.59,0.4957014386,janson,,,,,,,,,,,160,,3.875,5,8,3.5
François Xavier Vispré,6,,77,French,Male,White,Not Hispanic or Latinx,Portrait of Louis-François Roubiliac,2001,54.61,12.7,10.795,3.81,8.89,137.0965,33.8709,170.9674,640.2,0.2670531084,janson,,,,,,,,,,,21.5,,5,4.25,1.5,3.5
Frank Stella,5,,78,American,Male,White,Not Hispanic or Latinx,Empress of India,1995,568.96,6.35,18.0975,8.255,8.89,114.919125,73.38695,188.306075,618.45,0.3044806775,janson,,,,,,,,,,,224,,2.5,7.125,3.25,3.5
Frank Stella,6,,78,American,Male,White,Not Hispanic or Latinx,Empress of India,2001,568.96,6.35,18.0975,7.9375,8.89,114.919125,70.564375,185.4835,640.2,0.2897274289,janson,,,,,,,,,,,224,,2.5,7.125,3.125,3.5
Frank Stella,7,,78,American,Male,White,Not Hispanic or Latinx,Empress of India,2007,568.96,6.985,19.05,15.5575,8.89,133.06425,138.306175,271.370425,623.5,0.4352372494,janson,,,,,,,,,,,224,,2.75,7.5,6.125,3.5
Frank Stella,8,,78,American,Male,White,Not Hispanic or Latinx,Empress of India,2011,548.64,7.9375,21.59,14.605,8.89,171.370625,129.83845,301.209075,616.59,0.4885078821,janson,,,,,,,,,,,216,,3.125,8.5,5.75,3.5
Frank Stella ,2,,78,American,Male,White,Not Hispanic or Latinx,Empress of India,1977,568.96,8.89,26.035,10.16,8.255,231.45115,83.8708,315.32195,611.1,0.5159907544,janson,,,,,,,,,,,224,,3.5,10.25,4,3.25
Frank Stella ,3,,78,American,Male,White,Not Hispanic or Latinx,Empress of India,1986,568.96,26.035,8.89,10.16,8.89,231.45115,90.3224,321.77355,599.96,0.536325005,janson,,,,,,,,,,,224,,10.25,3.5,4,3.5
Frank Stella ,4,,78,American,Male,White,Not Hispanic or Latinx,Empress of India,1991,568.96,6.35,18.0975,8.255,8.89,114.919125,73.38695,188.306075,592.8,0.3176553222,janson,,,,,,,,,,,224,,2.5,7.125,3.25,3.5
Frantisek Kupka,7,,79,Czech,Male,White,Not Hispanic or Latinx,Disks of Newton (Study for Fugue in Two Colors),2007,73.66,24.13,17.4625,12.7,8.89,421.370125,112.903,534.273125,623.5,0.8568935445,janson,,,,,,,,,,,29,,9.5,6.875,5,3.5
Franz Marc,5,,80,German,Male,White,Not Hispanic or Latinx,"Animal Destinies (The Trees Showed Their Rings, The Animals Their Arteries)",1995,266.7,10.795,14.2875,11.43,8.89,154.2335625,101.6127,255.8462625,618.45,0.4136894858,janson,,,,,,,,,,,105,,4.25,5.625,4.5,3.5
Franz Marc,6,,80,German,Male,White,Not Hispanic or Latinx,"Animal Destinies (The Trees Showed Their Rings, The Animals Their Arteries)",2001,261.62,10.4775,14.2875,11.43,8.89,149.6972813,101.6127,251.3099813,640.2,0.3925491741,janson,,,,,,,,,,,103,,4.125,5.625,4.5,3.5
Franz Marc,7,,80,German,Male,White,Not Hispanic or Latinx,"Animal Destinies (The Trees Showed Their Rings, The Animals Their Arteries)",2007,261.62,9.2075,12.7,11.43,8.89,116.93525,101.6127,218.54795,623.5,0.3505179631,janson,,,,,,,,,,,103,,3.625,5,4.5,3.5
Franz Marc,8,,80,German,Male,White,Not Hispanic or Latinx,"Animal Destinies (The Trees Showed Their Rings, The Animals Their Arteries)",2011,266.7,11.1125,14.9225,20.955,8.89,165.8262813,186.28995,352.1162313,616.59,0.5710702918,janson,,,,,,,,,,,105,,4.375,5.875,8.25,3.5
Frederic Edwin Church,8,,81,American,Male,White,Not Hispanic or Latinx,Twilight in the Wilderness,2011,162.56,11.7475,19.3675,24.13,8.89,227.5197063,214.5157,442.0354063,616.59,0.7169033008,janson,,,,,,,,,,,64,,4.625,7.625,9.5,3.5
Frida Kahlo,5,,82,Mexican,Female,White,Hispanic or Latinx,Self-Portrait with Thorn Necklace,1995,47.625,11.1125,8.5725,10.16,8.89,95.26190625,90.3224,185.5843063,618.45,0.3000797255,janson,,,,,,,,,,,18.75,,4.375,3.375,4,3.5
Frida Kahlo,6,,82,Mexican,Female,White,Hispanic or Latinx,Self-Portrait with Thorn Necklace,2001,47.625,11.1125,8.255,9.8425,8.89,91.7336875,87.499825,179.2335125,640.2,0.2799648743,janson,,,,,,,,,,,18.75,,4.375,3.25,3.875,3.5
Frida Kahlo,7,,82,Mexican,Female,White,Hispanic or Latinx,The Two Fridas,2007,173.99,13.335,12.7,17.145,8.89,169.3545,152.41905,321.77355,623.5,0.516076263,janson,,,,,,,,,,,68.5,,5.25,5,6.75,3.5
Frida Kahlo,8,,82,Mexican,Female,White,Hispanic or Latinx,The Two Fridas,2011,173.99,13.97,13.6525,17.78,8.89,190.725425,158.0642,348.789625,616.59,0.5656751245,janson,,,,,,,,,,,68.5,,5.5,5.375,7,3.5
Friedrich Overbeck,5,,83,German,Male,White,Not Hispanic or Latinx,Italia and Germania,1995,106.3625,7.9375,8.89,4.445,8.89,70.564375,39.51605,110.080425,618.45,0.1779940577,janson,,,,,,,,,,,41.875,,3.125,3.5,1.75,3.5
Friedrich Overbeck,6,,83,German,Male,White,Not Hispanic or Latinx,Italia and Germania,2001,106.3625,7.9375,8.89,4.445,8.89,70.564375,39.51605,110.080425,640.2,0.1719469306,janson,,,,,,,,,,,41.875,,3.125,3.5,1.75,3.5
Gavin Hamilton,7,,84,Scottish,Male,White,Not Hispanic or Latinx,Andromache Bewailing the Death of Hector,2007,#VALUE!,9.525,14.2875,13.335,8.89,136.0884375,118.54815,254.6365875,623.5,0.4083986969,janson,,,,,,,,,,,N/A,,3.75,5.625,5.25,3.5
