ArtistName,EditionNumber,NumberofWorldCatPublications,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,TitleofWork,Year,WidthofActualWork(cm),HeightofWorkinJanson(cm),WidthofWorkinJanson(cm),LengthofText(cm),WidthofText(cm),AreaWorkinJanson(cm^2),AreaTextinJanson(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,WidthofActualWork(in),,HeightofWorkinJanson(in inches),WidthofWorkinJanson(in),LengthofText(in),WidthofText(in)
Barbara Kruger,6,,31,American,Female,White,Not Hispanic or Latinx,You Are a Captive Audience,2001,95.885,11.1125,8.5725,6.6675,8.89,95.26190625,59.274075,154.5359813,640.2,0.2413870373,janson,,,,,,,,,,,37.75,,4.375,3.375,2.625,3.5
Barbara Kruger,7,,31,American,Female,White,Not Hispanic or Latinx,You Are a Captive Audience,2007,95.885,12.7,9.8425,12.065,8.89,124.99975,107.25785,232.2576,623.5,0.3725061748,janson,,,,,,,,,,,37.75,,5,3.875,4.75,3.5
Barbara Kruger,8,,31,American,Female,White,Not Hispanic or Latinx,Untitled (We Won't Plat Nature to Your Culture),2011,124.46,14.2875,9.2075,22.225,8.89,131.5521563,197.58025,329.1324063,616.59,0.53379459,janson,,,,,,,,,,,49,,5.625,3.625,8.75,3.5
Barnett Newman,7,,32,American,Male,White,Not Hispanic or Latinx,Vir Heroicus Sublimis,2007,541.655,7.9375,18.415,8.255,8.89,146.1690625,73.38695,219.5560125,623.5,0.3521347434,janson,,,,,,,,,,,213.25,,3.125,7.25,3.25,3.5
Ben Nicholson,4,,33,British,Male,White,Not Hispanic or Latinx,Painted Relief,1991,114.3,6.6675,8.4455,6.35,8.89,56.31037125,56.4515,112.7618713,592.8,0.1902190811,janson,,,,,,,,,,,45,,2.625,3.325,2.5,3.5
Ben Nicholson,5,,33,British,Male,White,Not Hispanic or Latinx,Painted Relief,1995,114.3,6.6675,8.5725,5.715,8.89,57.15714375,50.80635,107.9634938,618.45,0.1745710951,janson,,,,,,,,,,,45,,2.625,3.375,2.25,3.5
Ben Nicholson,6,,33,British,Male,White,Not Hispanic or Latinx,Painted Relief,2001,114.3,6.6675,8.89,5.08,8.89,59.274075,45.1612,104.435275,640.2,0.1631291393,janson,,,,,,,,,,,45,,2.625,3.5,2,3.5
Benjamin West,1,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,1963,213.36,10.16,13.335,16.51,8.255,135.4836,136.29005,271.77365,631.47,0.4303825202,janson,,,,,,,,,,,84,,4,5.25,6.5,3.25
Benjamin West,1.1,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,1969,213.36,10.16,13.335,16.51,8.255,135.4836,136.29005,271.77365,635.1,0.4279226106,janson,,,,,,,,,,,84,,4,5.25,6.5,3.25
Benjamin West,2,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,1977,213.36,9.525,13.335,17.145,8.255,127.015875,141.531975,268.54785,611.1,0.4394499264,janson,,,,,,,,,,,84,,3.75,5.25,6.75,3.25
Benjamin West,3,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,1986,213.36,9.8425,13.0175,16.51,8.89,128.1247438,146.7739,274.8986438,599.96,0.4581949526,janson,,,,,,,,,,,84,,3.875,5.125,6.5,3.5
Benjamin West,4,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,1991,213.36,8.89,12.7,15.875,8.89,112.903,141.12875,254.03175,592.8,0.4285285931,janson,,,,,,,,,,,84,,3.5,5,6.25,3.5
Benjamin West,5,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,1995,213.36,8.89,12.7,16.51,8.89,112.903,146.7739,259.6769,618.45,0.4198834182,janson,,,,,,,,,,,84,,3.5,5,6.5,3.5
Benjamin West,6,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,2001,213.36,8.89,12.7,17.145,8.89,112.903,152.41905,265.32205,640.2,0.4144361918,janson,,,,,,,,,,,84,,3.5,5,6.75,3.5
Benjamin West,7,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,2007,213.36,13.335,19.05,31.115,8.89,254.03175,276.61235,530.6441,623.5,0.8510731355,janson,,,,,,,,,,,84,,5.25,7.5,12.25,3.5
Benjamin West,8,,34,American,Male,White,Not Hispanic or Latinx,The Death of General Wolfe,2011,213.36,13.335,19.05,27.305,8.89,254.03175,242.74145,496.7732,616.59,0.8056783276,janson,,,,,,,,,,,84,,5.25,7.5,10.75,3.5
Berenice Abbott,3,,35,American,Female,White,Not Hispanic or Latinx,Transformation of Energy,1986,,11.1125,13.6525,5.715,8.89,151.7134063,50.80635,202.5197563,599.96,0.3375554308,janson,,,,,,,,,,,,,4.375,5.375,2.25,3.5
Berenice Abbott,4,,35,American,Female,White,Not Hispanic or Latinx,Transformation of Energy,1991,,11.1125,13.6525,5.715,8.89,151.7134063,50.80635,202.5197563,592.8,0.3416325173,janson,,,,,,,,,,,,,4.375,5.375,2.25,3.5
Berenice Abbott,5,,35,American,Female,White,Not Hispanic or Latinx,Transformation of Energy,1995,,10.795,13.6525,5.08,8.89,147.3787375,45.1612,192.5399375,618.45,0.3113266028,janson,,,,,,,,,,,,,4.25,5.375,2,3.5
Berenice Abbott,6,,35,American,Female,White,Not Hispanic or Latinx,Transformation of Energy,2001,,10.795,13.6525,5.715,8.89,147.3787375,50.80635,198.1850875,640.2,0.3095674594,janson,,,,,,,,,,,,,4.25,5.375,2.25,3.5
Berthe Morisot,3,,36,French,Female,White,Not Hispanic or Latinx,The Artist's Sister Edma and Their Mother,1986,81.28,11.1125,8.89,2.54,8.89,98.790125,22.5806,121.370725,599.96,0.2022980282,janson,,,,,,,,,,,32,,4.375,3.5,1,3.5
Berthe Morisot,4,,36,French,Female,White,Not Hispanic or Latinx,La Lecture (Reading),1991,92.71,6.985,8.5725,8.89,8.89,59.8789125,79.0321,138.9110125,592.8,0.234330318,janson,,,,,,,,,,,36.5,,2.75,3.375,3.5,3.5
Berthe Morisot,5,,36,French,Female,White,Not Hispanic or Latinx,La Lecture (Reading),1995,92.71,6.985,8.5725,8.255,8.89,59.8789125,73.38695,133.2658625,618.45,0.2154836486,janson,,,,,,,,,,,36.5,,2.75,3.375,3.25,3.5
Berthe Morisot,6,,36,French,Female,White,Not Hispanic or Latinx,La Lecture (Reading),2001,92.71,6.985,8.89,7.62,8.89,62.09665,67.7418,129.83845,640.2,0.2028092002,janson,,,,,,,,,,,36.5,,2.75,3.5,3,3.5
Berthe Morisot,7,,36,French,Female,White,Not Hispanic or Latinx,Summer's Day,2007,74.45375,9.2075,15.24,22.225,8.89,140.3223,197.58025,337.90255,623.5,0.5419447474,janson,,,,,,,,,,,29.3125,,3.625,6,8.75,3.5
Berthe Morisot,8,,36,French,Female,White,Not Hispanic or Latinx,Summer's Day,2011,74.45375,9.2075,15.24,22.86,8.89,140.3223,203.2254,343.5477,616.59,0.5571736486,janson,,,,,,,,,,,29.3125,,3.625,6,9,3.5
Bill Brandt,4,,37,British,Male,White,Not Hispanic or Latinx,London Child,1991,,11.1125,9.525,8.255,8.89,105.8465625,73.38695,179.2335125,592.8,0.3023507296,janson,,,,,,,,,,,,,4.375,3.75,3.25,3.5
Bill Brandt,5,,37,British,Male,White,Not Hispanic or Latinx,London Child,1995,,10.795,9.525,8.255,8.89,102.822375,73.38695,176.209325,618.45,0.2849208909,janson,,,,,,,,,,,,,4.25,3.75,3.25,3.5
Bill Brandt,6,,37,British,Male,White,Not Hispanic or Latinx,London Child,2001,,11.1125,9.525,8.255,8.89,105.8465625,73.38695,179.2335125,640.2,0.2799648743,janson,,,,,,,,,,,,,4.375,3.75,3.25,3.5
Brassaï,3,,38,Hungarian-French,Male,White,Not Hispanic or Latinx,"""Bijou"" of Montmartre",1986,,11.1125,8.89,5.715,8.89,98.790125,50.80635,149.596475,599.96,0.2493440813,janson,,,,,,,,,,,,,4.375,3.5,2.25,3.5
Brassaï,4,,38,Hungarian-French,Male,White,Not Hispanic or Latinx,"""Bijou"" of Montmartre",1991,23.495,11.1125,8.89,5.08,8.89,98.790125,45.1612,143.951325,592.8,0.2428328694,janson,,,,,,,,,,,9.25,,4.375,3.5,2,3.5
Brassaï,5,,38,Hungarian-French,Male,White,Not Hispanic or Latinx,"""Bijou"" of Montmartre",1995,23.495,10.795,8.89,5.715,8.89,95.96755,50.80635,146.7739,618.45,0.2373254103,janson,,,,,,,,,,,9.25,,4.25,3.5,2.25,3.5
Brassaï,6,,38,Hungarian-French,Male,White,Not Hispanic or Latinx,"""Bijou"" of Montmartre",2001,23.495,11.1125,8.89,4.445,8.89,98.790125,39.51605,138.306175,640.2,0.2160358872,janson,,,,,,,,,,,9.25,,4.375,3.5,1.75,3.5
Camille Pissarro,5,,39,Danish-French,Male,White,Not Hispanic or Latinx,"The Côte des Boeufs at l'Hermitage, near Pontoise",1995,87.63,11.43,8.5725,7.62,8.89,97.983675,67.7418,165.725475,618.45,0.2679690759,janson,,,,,,,,,,,34.5,,4.5,3.375,3,3.5
Camille Pissarro,6,,39,Danish-French,Male,White,Not Hispanic or Latinx,"The Côte des Boeufs at l'Hermitage, near Pontoise",2001,87.63,11.43,8.89,5.715,8.89,101.6127,50.80635,152.41905,640.2,0.2380803655,janson,,,,,,,,,,,34.5,,4.5,3.5,2.25,3.5
Camille Pissarro,7,,39,Danish-French,Male,White,Not Hispanic or Latinx,"Climbing Path, L'Hermitage, Pontoise",2007,65.405,11.7475,14.2875,19.05,8.89,167.8424063,169.3545,337.1969063,623.5,0.5408130012,janson,,,,,,,,,,,25.75,,4.625,5.625,7.5,3.5
Camille Pissarro,8,,39,Danish-French,Male,White,Not Hispanic or Latinx,"Climbing Path, L'Hermitage, Pontoise",2011,65.405,12.065,14.2875,19.685,8.89,172.3786875,174.99965,347.3783375,616.59,0.5633862656,janson,,,,,,,,,,,25.75,,4.75,5.625,7.75,3.5
Carleton Watkins,7,,40,American,Male,White,Not Hispanic or Latinx,Yosemite Valley from the Best General View,2007,52.07,10.4775,12.3825,24.765,8.89,129.7376438,220.16085,349.8984938,623.5,0.5611844326,janson,,,,,,,,,,,20.5,,4.125,4.875,9.75,3.5
